"Periodo","Valor"
"2009-01","31"
"2009-02","48"
"2009-03","79"
"2009-04","96"
"2009-05","77"
"2009-06","60"
"2009-07","34"
"2009-08","30"
"2009-09","35"
"2009-10","104"
"2009-11","88"
"2009-12","63"
"2010-01","14"
"2010-02","21"
"2010-03","20"
"2010-04","152"
"2010-05","163"
"2010-06","76"
"2010-07","91"
"2010-08","32"
"2010-09","45"
"2010-10","132"
"2010-11","179"
"2010-12","123"
"2011-01","44"
"2011-02","58"
"2011-03","85"
"2011-04","170"
"2011-05","122"
"2011-06","48"
"2011-07","39"
"2011-08","32"
"2011-09","36"
"2011-10","111"
"2011-11","145"
"2011-12","97"
"2012-01","49"
"2012-02","36"
"2012-03","80"
"2012-04","144"
"2012-05","33"
"2012-06","30"
"2012-07","45"
"2012-08","40"
"2012-09","21"
"2012-10","103"
"2012-11","52"
"2012-12","54"
"2013-01","8"
"2013-02","97"
"2013-03","57"
"2013-04","119"
"2013-05","101"
"2013-06","24"
"2013-07","37"
"2013-08","46"
"2013-09","29"
"2013-10","73"
"2013-11","129"
"2013-12","72"
"2014-01","49"
"2014-02","94"
"2014-03","96"
"2014-04","62"
"2014-05","77"
"2014-06","44"
"2014-07","30"
"2014-08","19"
"2014-09","36"
"2014-10","48"
"2014-11","117"
"2014-12","132"
"2015-01","40"
"2015-02","32"
"2015-03","98"
"2015-04","53"
"2015-05","20"
"2015-06","66"
"2015-07","34"
"2015-08","22"
"2015-09","32"
"2015-10","45"
"2015-11","72"
"2015-12","2"
"2016-01","6"
"2016-02","19"
"2016-03","84"
"2016-04","142"
"2016-05","80"
"2016-06","27"
"2016-07","34"
"2016-08","45"
"2016-09","68"
"2016-10","83"
"2016-11","184"
"2016-12","59"
"2017-01","50"
"2017-02","74"
"2017-03","177"
"2017-04","75"
"2017-05","175"
"2017-06","96"
"2017-07","24"
"2017-08","70"
"2017-09","33"
"2017-10","84"
"2017-11","162"
"2017-12","85"
"2018-01","46"
"2018-02","34"
"2018-03","93"
"2018-04","120"
"2018-05","90"
"2018-06","32"
"2018-07","36"
"2018-08","29"
"2018-09","22"
"2018-10","49"
"2018-11","83"
"2018-12","3"
"2019-01","18"
"2019-02","46"
"2019-03","84"
"2019-04","138"
"2019-05","120"
"2019-06","74"
"2019-07","43"
"2019-08","38"
"2019-09","62"
"2019-10","94"
"2019-11","231"
"2019-12","50"
"2020-01","53"
"2020-02","94"
"2020-03","84"
"2020-04","64"
"2020-05","70"
"2020-06","79"
"2020-07","90"
"2020-08","41"
"2020-09","86"
"2020-10","35"
"2020-11","240"
"2020-12","94"
"2021-01","18"
"2021-02","51"
"2021-03","112"
"2021-04","103"
"2021-05","161"
"2021-06","143"
"2021-07","49"
"2021-08","123"
"2021-09","61"
"2021-10","191"
"2021-11","163"
"2021-12","48"
"2022-01","23"
"2022-02","140"
"2022-03","100"
"2022-04","161"
"2022-05","96"
"2022-06","159"
"2022-07","71"
"2022-08","58"
"2022-09","77"
"2022-10","216"
"2022-11","164"
"2022-12","67"
"2023-01","124"
"2023-02","44"
"2023-03","139"
"2023-04","87"
"2023-05","83"
"2023-06","25"
"2023-07","57"
"2023-08","53"
"2023-09","59"
"2023-10","103"
"2023-11","60"
"2023-12","58"
"2024-01","12"
"2024-02","66"
"2024-03","56"
"2024-04","121"
"2024-05","89"
"2024-06","103"
"2024-07","46"
"2024-08","15"
"2024-09","54"
"2024-10","129"
"2024-11","194"
"2024-12","38"
"2025-01","27"
"2025-02","98"
"2025-03","154"
"2025-04","160"
"2025-05","109"
"2025-06","83"
"2025-07","48"
"2025-08","56"
"2025-09","42"
